family,kernel,variant_index,variant_label,shape_summary_json,baseline_status,pto_status,baseline_correct,pto_correct,baseline_median_ms,pto_median_ms,baseline_over_pto_pct,baseline_limitations_json,baseline_reason,pto_reason,report_path,spec
moe,moe_finalize_routing_v2_grad,1,,null,blocked,blocked,False,False,,,,[],Baseline runtime entrypoint is unavailable on this host.,"PTO compile failed: Command '['ptoas', '--enable-insert-sync', '/home/zhouruoyu/github/pto-kernels/bench/results/moe/moe_finalize_routing_v2_grad/20260316T031454Z/t16_h16/kernel.pto', '-o', '/home/zhouruoyu/github/pto-kernels/bench/results/moe/moe_finalize_routing_v2_grad/20260316T031454Z/t16_h16/kernel.cpp']' returned non-zero exit status 1.",/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_finalize_routing_v2_grad/report.json,bench/specs/moe/moe_finalize_routing_v2_grad.yaml
moe,moe_gating_top_k,1,,"{""expert_idx_out"": [8, 1], ""norm_out"": [8, 16], ""x"": [8, 16], ""y_out"": [8, 1]}",ok,ok,False,True,0.12839597184211016,0.23570144549012184,54.473985755633045,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_gating_top_k/report.json,bench/specs/moe/moe_gating_top_k.yaml
moe,moe_gating_top_k,2,,"{""expert_idx_out"": [256, 1], ""norm_out"": [256, 64], ""x"": [256, 64], ""y_out"": [256, 1]}",ok,ok,False,True,0.12690597213804722,0.23467093706130981,54.07826539035464,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_gating_top_k/report.json,bench/specs/moe/moe_gating_top_k.yaml
moe,moe_gating_top_k,3,,"{""expert_idx_out"": [128, 1], ""norm_out"": [128, 128], ""x"": [128, 128], ""y_out"": [128, 1]}",ok,ok,False,True,0.1283654710277915,0.23380143102258444,54.90362931756043,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_gating_top_k/report.json,bench/specs/moe/moe_gating_top_k.yaml
moe,moe_gating_top_k_softmax,1,,"{""expert_idx_out"": [8, 1], ""row_idx_out"": [8, 1], ""x"": [8, 16], ""y_out"": [8, 1]}",ok,ok,True,True,0.1009105471894145,0.3772120689973235,26.751675114120093,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_gating_top_k_softmax/report.json,bench/specs/moe/moe_gating_top_k_softmax.yaml
moe,moe_gating_top_k_softmax,2,,"{""expert_idx_out"": [256, 1], ""row_idx_out"": [256, 1], ""x"": [256, 64], ""y_out"": [256, 1]}",ok,ok,True,True,0.10123499669134617,0.37832255475223064,26.75891125699512,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_gating_top_k_softmax/report.json,bench/specs/moe/moe_gating_top_k_softmax.yaml
moe,moe_gating_top_k_softmax,3,,"{""expert_idx_out"": [128, 1], ""row_idx_out"": [128, 1], ""x"": [128, 128], ""y_out"": [128, 1]}",ok,ok,True,True,0.10022101923823357,0.379262026399374,26.425271253678822,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_gating_top_k_softmax/report.json,bench/specs/moe/moe_gating_top_k_softmax.yaml
moe,moe_gating_top_k_softmax_v2,1,,null,blocked,ok,False,True,,0.3726324066519737,,[],Baseline runtime entrypoint is unavailable on this host.,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_gating_top_k_softmax_v2/report.json,bench/specs/moe/moe_gating_top_k_softmax_v2.yaml
moe,moe_compute_expert_tokens,1,,"{""out"": [8], ""sorted_experts"": [64]}",ok,blocked,True,False,0.0945358769968152,,,[],,"PTO compile failed: Command '['ptoas', '--enable-insert-sync', '/home/zhouruoyu/github/pto-kernels/bench/results/moe/moe_compute_expert_tokens/20260316T031557Z/r64_e8/kernel.pto', '-o', '/home/zhouruoyu/github/pto-kernels/bench/results/moe/moe_compute_expert_tokens/20260316T031557Z/r64_e8/kernel.cpp']' returned non-zero exit status 1.",/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_compute_expert_tokens/report.json,bench/specs/moe/moe_compute_expert_tokens.yaml
moe,moe_compute_expert_tokens,2,,"{""out"": [64], ""sorted_experts"": [4096]}",ok,blocked,True,False,0.09318056982010603,,,[],,"PTO compile failed: Command '['ptoas', '--enable-insert-sync', '/home/zhouruoyu/github/pto-kernels/bench/results/moe/moe_compute_expert_tokens/20260316T031557Z/r64_e8/kernel.pto', '-o', '/home/zhouruoyu/github/pto-kernels/bench/results/moe/moe_compute_expert_tokens/20260316T031557Z/r64_e8/kernel.cpp']' returned non-zero exit status 1.",/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_compute_expert_tokens/report.json,bench/specs/moe/moe_compute_expert_tokens.yaml
moe,moe_compute_expert_tokens,3,,"{""out"": [128], ""sorted_experts"": [8192]}",ok,blocked,True,False,0.09462540037930012,,,[],,"PTO compile failed: Command '['ptoas', '--enable-insert-sync', '/home/zhouruoyu/github/pto-kernels/bench/results/moe/moe_compute_expert_tokens/20260316T031557Z/r64_e8/kernel.pto', '-o', '/home/zhouruoyu/github/pto-kernels/bench/results/moe/moe_compute_expert_tokens/20260316T031557Z/r64_e8/kernel.cpp']' returned non-zero exit status 1.",/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_compute_expert_tokens/report.json,bench/specs/moe/moe_compute_expert_tokens.yaml
moe,moe_init_routing,1,,"{""expanded_expert_idx"": [16], ""expanded_row_idx"": [16], ""expanded_x"": [16, 16], ""expert_idx"": [16, 1], ""gather_indices"": [256], ""row_idx"": [16, 1], ""x"": [16, 16]}",ok,ok,True,False,0.1109858276322484,0.6664741085842252,16.652684058201885,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_init_routing/report.json,bench/specs/moe/moe_init_routing.yaml
moe,moe_init_routing,2,,"{""expanded_expert_idx"": [256], ""expanded_row_idx"": [256], ""expanded_x"": [256, 64], ""expert_idx"": [256, 1], ""gather_indices"": [16384], ""row_idx"": [256, 1], ""x"": [256, 64]}",ok,ok,True,False,0.11007511056959629,0.6776888621971011,16.242720916605784,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_init_routing/report.json,bench/specs/moe/moe_init_routing.yaml
moe,moe_init_routing,3,,"{""expanded_expert_idx"": [128], ""expanded_row_idx"": [128], ""expanded_x"": [128, 128], ""expert_idx"": [128, 1], ""gather_indices"": [16384], ""row_idx"": [128, 1], ""x"": [128, 128]}",ok,ok,True,False,0.11068605817854404,0.6723139667883515,16.463447681637806,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_init_routing/report.json,bench/specs/moe/moe_init_routing.yaml
moe,moe_init_routing_v2,1,,null,blocked,blocked,False,False,,,,[],The Python-visible npu_moe_init_routing_v2 host entrypoint crashes on this host (exit code -11) for the validated dropless top-1 grouped-expert probe.,"PTO compile failed: Command '['ptoas', '--enable-insert-sync', '/home/zhouruoyu/github/pto-kernels/bench/results/moe/moe_init_routing_v2/20260316T031630Z/t16_h16_e4/kernel.pto', '-o', '/home/zhouruoyu/github/pto-kernels/bench/results/moe/moe_init_routing_v2/20260316T031630Z/t16_h16_e4/kernel.cpp']' returned non-zero exit status 1.",/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_init_routing_v2/report.json,bench/specs/moe/moe_init_routing_v2.yaml
moe,moe_token_permute_grad,1,,"{""grad_permuted_tokens"": [8, 16], ""indices"": [8], ""out"": [8, 16], ""sorted_indices"": [8], ""tokens"": [8, 16]}",ok,ok,True,True,0.0955208670347929,0.22092601284384727,43.236586676783965,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_token_permute_grad/report.json,bench/specs/moe/moe_token_permute_grad.yaml
moe,moe_token_permute_grad,2,,"{""grad_permuted_tokens"": [256, 64], ""indices"": [256], ""out"": [256, 64], ""sorted_indices"": [256], ""tokens"": [256, 64]}",ok,ok,True,True,0.0949010718613863,0.22041599731892347,43.0554374526965,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_token_permute_grad/report.json,bench/specs/moe/moe_token_permute_grad.yaml
moe,moe_token_permute_grad,3,,"{""grad_permuted_tokens"": [128, 128], ""indices"": [128], ""out"": [128, 128], ""sorted_indices"": [128], ""tokens"": [128, 128]}",ok,ok,True,True,0.09665603283792734,0.22384594194591045,43.17971190260981,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_token_permute_grad/report.json,bench/specs/moe/moe_token_permute_grad.yaml
moe,moe_token_permute_with_routing_map,1,,"{""gather_indices"": [128], ""routing_map"": [8, 4], ""sorted_indices"": [8], ""tokens"": [8, 16]}",ok,ok,True,True,0.09868049528449774,0.3506280481815338,28.14392510704306,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_token_permute_with_routing_map/report.json,bench/specs/moe/moe_token_permute_with_routing_map.yaml
moe,moe_token_permute_with_routing_map,2,,"{""gather_indices"": [16384], ""routing_map"": [256, 8], ""sorted_indices"": [256], ""tokens"": [256, 64]}",ok,ok,True,True,0.10078097693622112,0.35099696833640337,28.712777040179553,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_token_permute_with_routing_map/report.json,bench/specs/moe/moe_token_permute_with_routing_map.yaml
moe,moe_token_permute_with_routing_map,3,,"{""gather_indices"": [16384], ""routing_map"": [128, 8], ""sorted_indices"": [128], ""tokens"": [128, 128]}",ok,ok,True,True,0.10134547483175993,0.3494869451969862,28.998357799784813,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_token_permute_with_routing_map/report.json,bench/specs/moe/moe_token_permute_with_routing_map.yaml
moe,moe_token_permute_with_routing_map_grad,1,,"{""permuted_tokens_grad"": [8, 16], ""routing_map"": [8, 4], ""sorted_indices"": [8], ""token_grad_out"": [8, 16]}",ok,ok,False,True,0.082825543358922,0.2622713800519705,31.580092094878854,"[""t8_h16_e4: probsOptional=None returns no probs_grad; baseline parity is validated on token_grad only."", ""t256_h64_e8: probsOptional=None returns no probs_grad; baseline parity is validated on token_grad only."", ""t128_h128_e8: probsOptional=None returns no probs_grad; baseline parity is validated on token_grad only.""]",,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_token_permute_with_routing_map_grad/report.json,bench/specs/moe/moe_token_permute_with_routing_map_grad.yaml
moe,moe_token_permute_with_routing_map_grad,2,,"{""permuted_tokens_grad"": [256, 64], ""routing_map"": [256, 8], ""sorted_indices"": [256], ""token_grad_out"": [256, 64]}",ok,ok,False,True,0.08344545494765043,0.2606359776109457,32.01609221893779,"[""t8_h16_e4: probsOptional=None returns no probs_grad; baseline parity is validated on token_grad only."", ""t256_h64_e8: probsOptional=None returns no probs_grad; baseline parity is validated on token_grad only."", ""t128_h128_e8: probsOptional=None returns no probs_grad; baseline parity is validated on token_grad only.""]",,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_token_permute_with_routing_map_grad/report.json,bench/specs/moe/moe_token_permute_with_routing_map_grad.yaml
moe,moe_token_permute_with_routing_map_grad,3,,"{""permuted_tokens_grad"": [128, 128], ""routing_map"": [128, 8], ""sorted_indices"": [128], ""token_grad_out"": [128, 128]}",ok,ok,False,True,0.08236058056354523,0.26414706371724606,31.17982059104295,"[""t8_h16_e4: probsOptional=None returns no probs_grad; baseline parity is validated on token_grad only."", ""t256_h64_e8: probsOptional=None returns no probs_grad; baseline parity is validated on token_grad only."", ""t128_h128_e8: probsOptional=None returns no probs_grad; baseline parity is validated on token_grad only.""]",,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_token_permute_with_routing_map_grad/report.json,bench/specs/moe/moe_token_permute_with_routing_map_grad.yaml
moe,moe_re_routing,1,,"{""expert_token_num"": [2], ""expert_token_num_per_rank"": [2, 2], ""per_token_scales"": [8], ""permute_per_token_scales"": [8], ""permute_token_idx"": [8], ""permute_tokens"": [8, 16], ""tokens"": [8, 16]}",ok,blocked,True,False,0.12065551709383726,,,[],,"PTO compile failed: Command '['ptoas', '--enable-insert-sync', '/home/zhouruoyu/github/pto-kernels/bench/results/moe/moe_re_routing/20260316T031729Z/t8_h16_r2_e2/kernel.pto', '-o', '/home/zhouruoyu/github/pto-kernels/bench/results/moe/moe_re_routing/20260316T031729Z/t8_h16_r2_e2/kernel.cpp']' returned non-zero exit status 1.",/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_re_routing/report.json,bench/specs/moe/moe_re_routing.yaml
moe,moe_re_routing,2,,"{""expert_token_num"": [4], ""expert_token_num_per_rank"": [4, 4], ""per_token_scales"": [256], ""permute_per_token_scales"": [256], ""permute_token_idx"": [256], ""permute_tokens"": [256, 64], ""tokens"": [256, 64]}",ok,blocked,True,False,0.12123060878366232,,,[],,"PTO compile failed: Command '['ptoas', '--enable-insert-sync', '/home/zhouruoyu/github/pto-kernels/bench/results/moe/moe_re_routing/20260316T031729Z/t8_h16_r2_e2/kernel.pto', '-o', '/home/zhouruoyu/github/pto-kernels/bench/results/moe/moe_re_routing/20260316T031729Z/t8_h16_r2_e2/kernel.cpp']' returned non-zero exit status 1.",/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_re_routing/report.json,bench/specs/moe/moe_re_routing.yaml
moe,moe_re_routing,3,,"{""expert_token_num"": [4], ""expert_token_num_per_rank"": [4, 4], ""per_token_scales"": [128], ""permute_per_token_scales"": [128], ""permute_token_idx"": [128], ""permute_tokens"": [128, 128], ""tokens"": [128, 128]}",ok,blocked,True,False,0.11956552043557167,,,[],,"PTO compile failed: Command '['ptoas', '--enable-insert-sync', '/home/zhouruoyu/github/pto-kernels/bench/results/moe/moe_re_routing/20260316T031729Z/t8_h16_r2_e2/kernel.pto', '-o', '/home/zhouruoyu/github/pto-kernels/bench/results/moe/moe_re_routing/20260316T031729Z/t8_h16_r2_e2/kernel.cpp']' returned non-zero exit status 1.",/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_re_routing/report.json,bench/specs/moe/moe_re_routing.yaml
